Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шаблій,Адам,Олегович,чоловік,1944-12-26,Конструктор,село Синельникове,"парк Володимира Вінниченка, буд. 653 кв. 815, Євпаторія, 03694",+380 95 175 47 67,orobetsmilena@example.net
Непорожній,Нестор,Олексійович,чоловік,1995-04-27,Модель,село Бібрка,"площа Зої Бутенко, буд. 353 кв. 05, Заставна, 76508",267 85 05,eduardkhomyk@example.net
Верес,Амалія,Петрівна,жінка,1951-05-20,Епідеміолог,хутір Яремче,"узвіз Професора Каришковського, буд. 489, Корсунь-Шевченківський, 38731",220 46 90,ieva42@example.com
Козаченко,Гаврило,Андрійович,чоловік,1971-09-20,Швачка,місто Біла Церква,"парк Кастуся Калиновського, буд. 82, Угнів, 20680",+380 (69) 186-72-99,dashenkofeofan@example.net
Кармалюк,Аніта,Сергіївна,жінка,1984-08-08,Паралегал,селище Красногорівка,"проспект Радіо, буд. 3 кв. 65, Вишгород, 01432",+380 (15) 730-53-84,ievtushenkoiaryna@example.com
Даниленко,Яків,Сергійович,чоловік,1960-11-01,Режисер,село Почаїв,"проспект Ракетна, буд. 07 кв. 720, Берислав, 65859",094 908 06 00,nestorromanchuk@example.org
Примаченко,Ліза,Андріївна,жінка,1946-01-12,Літературознавець,хутір Жданівка,"провулок Верхня, буд. 68, Харцизьк, 40022",+380 44 959 24 93,karpaliubov@example.net
Вдовенко,Орхип,Володимирович,чоловік,1951-06-11,Мистецтвознавець,селище Дніпро,"провулок Братів Малакових, буд. 80 кв. 897, Боково-Хрустальне, 87068",064 820 09 74,alinasaienko@example.com
Приймак,Ярослава,Іванівна,жінка,1942-04-04,Інженер,місто Болград,"узвіз Сирітський, буд. 497, Свалява, 89949",009 692 40 96,bohdanna77@example.com
Цимбал,Ярослава,Володимирівна,жінка,1970-12-25,Конструктор,селище Рава-Руська,"шосе Кривобалківська, буд. 9 кв. 767, Бобровиця, 15644",+380 15 984-68-47,ehavryliuk@example.net
Фурс,Аарон,Володимирович,чоловік,1973-02-03,Драматург,село Помічна,"провулок Миколи Троїцького, буд. 6 кв. 370, Буча, 01002",065 884 45 41,oleh76@example.org
Онищенко,Богуслав,Олегович,чоловік,1940-05-07,Стропальник,селище Тернівка,"шосе Шевченка, буд. 8, Старий Самбір, 90114",081 304-20-67,jrak@example.net
Литвин,Опанас,Олексійович,чоловік,1973-01-30,Флорист,місто Семенівка,"проспект Лютеранський, буд. 923 кв. 5, Чуднів, 68105",+380 84 105-50-31,boryslav23@example.com
Бараник,Пантелеймон,Олегович,чоловік,1965-03-01,Хореограф,село Брянка,"площа Офіцерська, буд. 8, Олешки, 83498",+380 64 223 81 81,saliiadam@example.com
Швачка,Лесь,Петрович,чоловік,1986-03-23,Локсмайстер,село Слов'янськ,"провулок Дністровська, буд. 3 кв. 042, Вилкове, 69708",+380 (74) 496-76-30,tlukash@example.org
Ґоляш,Єлисей,Сергійович,чоловік,1968-08-11,Драматург,село Старобільськ,"шосе Локомотивний 2-й, буд. 80 кв. 3, Докучаєвськ, 71473",261 00 09,hermanvlasiuk@example.com
Франчук,Емілія,Андріївна,жінка,1992-09-22,Науковець,село Часів Яр,"шосе Чехівського, буд. 952 кв. 343, Бердичів, 45886",+380 (58) 084-93-96,civanchenko@example.net
Височан,Кирило,Сергійович,чоловік,1963-07-12,Конструктор,місто Турка,"площа Хлібна гавань, буд. 273, Ананьїв, 74805",041 665 64 68,liza08@example.net
Закусило,Лукʼян,Андрійович,чоловік,1970-02-16,Кухар,село Тараща,"узвіз Соляний 3-й, буд. 633, Миронівка, 12770",015 656-44-37,hdanko@example.com
Чуприна,Левко,Сергійович,чоловік,2002-04-11,Фармацевт,селище Радомишль,"узвіз Ігоря Іванова, буд. 733, Вознесенівка, 61970",208-05-45,vhutsuliak@example.net
Тарасенко,Альберт,Петрович,чоловік,1982-02-26,Професор,село Татарбунари,"провулок Новоберегова, буд. 833 кв. 99, Гуляйполе, 70631",845-08-60,zakharenkovarfolomii@example.org
Петренко,Едуард,Сергійович,чоловік,2006-12-02,Патологоанатом,місто Підгайці,"шосе Восьмого березня 2-й, буд. 954 кв. 8, Кам'янка (Черкаська область), 22929",+380 48 084-82-43,ielyseikarpa@example.org
Чуйко,Андрій,Сергійович,чоловік,2004-04-19,Музичний редактор,хутір Обухів,"парк Український 1-й, буд. 1 кв. 98, Лохвиця, 12007",817-60-64,stepanpavlyk@example.com
Корпанюк,Болеслав,Іванович,чоловік,1972-05-18,Адвокат,місто Сокаль,"проспект Старорізнична, буд. 5 кв. 5, Приморськ, 75765",+380 29 427-22-05,nazarsomko@example.net
Бабак,Лариса,Сергіївна,жінка,1976-12-15,Скульптор,селище Енергодар,"узвіз Князя Володимира Великого , буд. 430, Луганськ, 82818",+380 25 090-25-06,iefremkolesnychenko@example.com
Мазур,Аніта,Сергіївна,жінка,2008-08-19,Стоматолог,селище Волноваха,"вулиця Астрономічний, буд. 7, Корець, 65928",181 89 54,ievazabila@example.org
Дробаха,Єфрем,Олексійович,чоловік,2008-05-04,Палеонтолог,місто Валки,"площа Матюшенка, буд. 73 кв. 3, Південне, 70318",+380 75 108 09 51,kdavymuka@example.com
Демʼянюк,Олена,Петрівна,жінка,1999-01-24,Доцент,місто Зеленодольськ,"вулиця Сашка Хорошенка, буд. 928 кв. 41, Рівне, 59377",083 352-62-67,arkadiiieresko@example.com
Жученко,Світлана,Володимирівна,жінка,1944-12-04,Єгер,селище Костопіль,"площа Березовий, буд. 5, Кам'янське, 63714",+380 56 117 46 78,tgerus@example.net
Бездітко,Юстина,Петрівна,жінка,1991-09-16,Палеонтолог,село Сколе,"проспект Вишневий, буд. 341, Тячів, 36842",284 48 27,baranykstepan@example.net
Бабариченко,Єлисей,Сергійович,чоловік,1978-01-06,Модель,селище Люботин,"вулиця Травневий 2-й, буд. 47 кв. 242, Гнівань, 41880",047 710-57-19,ustenkooryna@example.com
Артюшенко,Назар,Петрович,чоловік,1978-11-07,Детектив,місто П'ятихатки,"провулок Селекційний, буд. 5 кв. 77, Берегове, 61755",+380 27 127-83-35,shtokalohlib@example.com
Тягнибок,Станіслав,Володимирович,чоловік,1981-07-18,Золотар,місто Сколе,"узвіз Новиков міст, буд. 53, Калинівка, 07921",046 796 53 78,khudiakmykolai@example.com
Левченко,Йосип,Андрійович,чоловік,1968-08-22,Педагог,село Алупка,"площа Пресича Олександра, буд. 034 кв. 77, Берегове, 75507",+380 57 106-30-60,aaronzatula@example.org
Андрійчук,Адам,Іванович,чоловік,1995-02-07,Музикознавець,селище Глухів,"площа Деревообробний 2-й, буд. 525, Вільногірськ, 64861",+380 (11) 196-89-73,zbazylevych@example.com
Демʼяненко,Микита,Олегович,чоловік,1976-02-03,Піаніст,хутір Стрий,"вулиця Степова, буд. 611, Антрацит, 55560",036 239-32-64,shvaikavadym@example.com
Деревʼянко,Антон,Сергійович,чоловік,1994-12-05,Зоолог,місто Новий Калинів,"проспект Курортний 6-й, буд. 24 кв. 8, Болехів, 06386",+380 54 175-53-34,mykolaishynkarenko@example.com
Демʼянюк,Хома,Андрійович,чоловік,2005-03-11,Географ,селище Косів,"сквер Леопольда Ященка, буд. 647, Рогатин, 25166",+380 39 777-39-04,amaliiazabila@example.org
Тимченко,Омелян,Олексійович,чоловік,1948-11-04,Письменник,хутір Монастирище,"сквер Овідіопольський, буд. 30 кв. 659, Красногорівка, 25286",489-45-85,ieshchenkoadam@example.com
Швачка,Федір,Олексійович,чоловік,1971-01-04,Прокурор,хутір Нова Одеса,"парк Чорноморка, буд. 21, Ківерці, 85848",+380 51 675 89 51,iashchukokseniia@example.net
Короленко,Христина,Іванівна,жінка,1983-04-13,Музичний редактор,село Баранівка,"проспект Віталія Нестеренка, буд. 628, Голубівка, 47819",+380 93 636-23-05,ytaran@example.org
Гук,Алевтин,Петрович,чоловік,1957-09-30,Правник,місто Бобринець,"сквер Юрія Яновського, буд. 4, Белз, 20899",736 76 87,trokhymsmyk@example.org
Андрієнко,Спас,Іванович,чоловік,1994-11-01,Астроном,селище Черкаси,"площа Морська, буд. 501, Сорокине, 02633",+380 (79) 596-24-22,kgzhytskyi@example.com
Зубко,Арсен,Андрійович,чоловік,1961-01-17,Музикознавець,місто Олександрія,"набережна Лазурний 4-й, буд. 184 кв. 719, Чугуїв, 80710",+380 (78) 215-94-24,iurchenkoiarema@example.com
Цимбал,Світлана,Петрівна,жінка,2008-02-26,Фармацевт,село Ніжин,"шосе Проектна 2-га, буд. 790, Чистякове, 33583",013 801 33 13,xkovpak@example.net
Зарудний,Орест,Андрійович,чоловік,1966-12-07,Акушер,хутір Луганськ,"набережна Радіо, буд. 5, Чуднів, 32943",166-05-37,ostapchukopanas@example.net
Вернигора,Ярина,Іванівна,жінка,1989-10-14,Фольклорист,селище Нове Давидково,"парк Тараса Кузьміна, буд. 0, Олешки, 80423",082 848-37-27,vovkvolodymyr@example.com
Гриценко,Антон,Володимирович,чоловік,1953-11-07,Клоун,селище Чистякове,"парк Болградська, буд. 658, Яворів, 19752",345-75-17,oievtushok@example.org
Ярема,Данило,Сергійович,чоловік,1949-01-18,Композитор,хутір Малин,"шосе Економічний, буд. 6, Мар'їнка, 06387",+380 46 394-37-49,lonishchuk@example.net
Андрейко,Марта,Олексіївна,жінка,1985-10-21,Літературознавець,селище Жданівка,"сквер Слави, буд. 77, Рені, 67247",374-75-67,liubov62@example.org
Бандурка,Нестор,Олексійович,чоловік,1980-07-07,Флорист,місто Баранівка,"узвіз Оранжерейний, буд. 72, Горішні Плавні, 33383",+380 45 116 65 05,hutsuliakvarvara@example.com
Тесленко,Софія,Петрівна,жінка,1957-11-16,Кушнір,селище Великі Мости,"провулок Лінія 36-та, буд. 6, Лебедин, 91626",+380 23 584-40-50,amvrosiidanchuk@example.com
Єсипенко,Гордій,Андрійович,чоловік,1980-11-02,Нотаріус,село Лебедин,"шосе Персикова, буд. 479 кв. 5, Моршин, 30125",025 610 84 21,priskaatroshchenko@example.org
Килимник,Ярослава,Олексіївна,жінка,1992-01-07,Євнух,селище Чигирин,"шосе Офіцерський 2-й, буд. 3, Докучаєвськ, 88764",+380 47 361 22 14,stepanchalenko@example.org
Чередник,Сергій,Сергійович,чоловік,2004-02-21,Етнограф,селище Таврійськ,"узвіз Кривобалківська, буд. 145, Сніжне, 29431",+380 (10) 088-00-08,shukhevychtaras@example.com
Андрейко,Олена,Петрівна,жінка,1981-03-30,Мінералог,село Валки,"парк Бєлякова, буд. 923, Зугрес, 36768",+380 89 092-76-83,oleksandr97@example.net
Ткаченко,Ольга,Петрівна,жінка,1959-04-03,Сантехнік,село Новоград-Волинський,"сквер Цесевича, буд. 860, Люботин, 42094",+380 (51) 667-56-94,orysia45@example.net
Ващенко,Трохим,Сергійович,чоловік,1970-05-08,Петрограф,хутір Сімферополь,"парк Друга, буд. 41, Скалат, 05174",+380 47 121 93 93,priskakhrystych@example.com
Шаповал,Герман,Олексійович,чоловік,1956-08-15,Мовознавець,селище Багачеве,"узвіз Студентський 1-й, буд. 41 кв. 55, Полтава, 91565",+380 43 664-98-44,amvrosii77@example.net
Копитко,Назар,Олегович,чоловік,2006-12-11,Локсмайстер,хутір Ладижин,"провулок Новобазарний, буд. 950 кв. 54, Полтава, 49008",+380 97 914 63 26,fartushniakalla@example.net
Малик,Соломія,Олексіївна,жінка,1989-02-01,Астрофізик,село Берегове,"сквер Леоніда Осики, буд. 81 кв. 50, Гайсин, 51569",+380 08 597-21-44,iaroslavbezborodko@example.com
Бабійчук,Єфрем,Андрійович,чоловік,1979-08-10,Детектив,місто Хрустальний,"вулиця Котляревського, буд. 516 кв. 9, Ромни, 90267",096 267 94 62,ikadeniuk@example.com
Журба,Андрій,Петрович,чоловік,1970-04-13,Електрик,село Зеленодольськ,"сквер Сортувальна 2-га, буд. 913 кв. 967, Старий Крим, 97721",+380 84 429-92-81,fisaievych@example.net
Забіла,Наталія,Андріївна,жінка,1945-12-05,Конструктор,хутір Південне,"набережна Колонічна, буд. 509, Сніжне, 07945",+380 68 219-75-95,jivanenko@example.net
Вітер,Демʼян,Андрійович,чоловік,1969-11-26,Психолог,селище Белз,"площа Аеропортівський 3-й, буд. 6 кв. 2, Світлодарськ, 64392",+380 43 050-80-57,spashodunok@example.net
Петренко,Антон,Сергійович,чоловік,1997-10-11,Візажист,місто Мукачево,"сквер Прилуцький, буд. 5, Бунге, 43262",+380 06 734-94-30,albina23@example.net
Батуринець,Яків,Іванович,чоловік,1977-01-09,Фрілансер,хутір Вараш,"вулиця 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 8, Скалат, 10280",+380 07 364-09-12,karpenkoleon@example.net
Терещенко,Теодор,Сергійович,чоловік,1986-05-09,Бібліотекар,хутір Новий Буг,"площа Солонцюватий 1-й, буд. 3, Самар, 62164",+380 18 671-58-69,mykhailynavertyporokh@example.org
Швачка,Сергій,Олегович,чоловік,1982-03-04,Мовознавець,хутір Старобільськ,"площа Лазурний 3-й, буд. 7, Мукачево, 49781",+380 98 968 53 42,dutkazakhar@example.net
Дейсун,Прохір,Петрович,чоловік,1944-07-31,Конструктор,село Ізюм,"узвіз Почаївська, буд. 906, Борзна, 92830",+380 01 353-27-31,aronetsarkadii@example.net
Захаренко,Людмила,Іванівна,жінка,2006-04-14,Мікробіолог,селище Жидачів,"проспект Лінія 33-тя, буд. 774, Добропілля, 37335",006 967 64 07,nestor68@example.org
Теліженко,Трохим,Іванович,чоловік,1965-10-23,Мистецтвознавець,село Погребище,"вулиця Херсонський, буд. 15, Чернігів, 16012",075 107 04 15,karkhypenko@example.org
Матяш,Ярема,Сергійович,чоловік,1981-11-14,Перекладач,селище Овруч,"парк Пересипська 5-та, буд. 870 кв. 01, Гірське, 49158",478 27 46,artemaronets@example.com
Ващук,Михайло,Андрійович,чоловік,2005-05-23,Режисер,селище Берислав,"сквер Пресича Олександра, буд. 7 кв. 075, Жовква, 75337",009 361 25 07,hordii08@example.com
Лубенець,Сніжана,Володимирівна,жінка,1994-07-17,Кухар,хутір Дніпрорудне,"набережна Авіаторів, буд. 7 кв. 0, Горлівка, 83052",+380 59 142 10 91,jbabii@example.com
Шведченко,Богуслава,Андріївна,жінка,1956-05-17,Няня,селище Миронівка,"сквер Кредитний, буд. 5 кв. 354, Нова Одеса, 60147",+380 (60) 672-02-29,leonsimashkevych@example.net
Байрак,Прохір,Іванович,чоловік,1945-10-25,Правник,хутір Волноваха,"набережна Короткий, буд. 6, Підгайці, 05197",+380 (25) 322-93-05,roksolana09@example.net
Колісниченко,Орест,Андрійович,чоловік,2001-07-04,Швачка,село Чуднів,"проспект Митракова, буд. 96, Жидачів, 79719",+380 27 000 69 61,vashchukmariana@example.net
Михайлюк,Демид,Андрійович,чоловік,2006-10-13,Агроном,село Нове Давидково,"площа Кавунова, буд. 648 кв. 244, Турка, 11629",894 88 81,milena90@example.org
Супруненко,Надія,Володимирівна,жінка,1976-06-22,Гицель,хутір Андрушівка,"сквер Мирна, буд. 86, Корсунь-Шевченківський, 86060",+380 14 955-78-68,mhuz@example.com
Алексійчук,Пилип,Петрович,чоловік,1977-04-11,Електромонтажник,хутір Арциз,"набережна Аеропортівський 6-й, буд. 71, Галич, 74467",040 197 38 79,shukhevychaaron@example.net
Михалюк,Микита,Іванович,чоловік,1983-12-14,Лікар,місто Шаргород,"узвіз Березовий, буд. 126 кв. 993, Свалява, 74910",+380 33 814-78-34,svystunielysei@example.net
Свириденко,Марʼяна,Андріївна,жінка,1946-10-22,Бібліограф,місто Решетилівка,"площа Соляний 7-й, буд. 9, Снятин, 63747",302 99 98,ycherinko@example.com
Лавренко,Валентин,Сергійович,чоловік,1960-04-30,Електромонтажник,село Каховка,"сквер Лінія 55-та, буд. 7, Інкерман, 54711",076 608 30 99,vernydubmakar@example.com
Дейсун,Зиновій,Володимирович,чоловік,1990-06-27,Швачка,місто Козятин,"узвіз Світлий, буд. 16 кв. 973, Бахмут, 59832",877 03 75,revadaryna@example.com
Бандура,Мирон,Олексійович,чоловік,2002-06-12,Парфюмер,хутір Болехів,"парк Студентський 1-й, буд. 72 кв. 6, Федорівка, 07538",022 648-07-41,phuzenko@example.org
Юхименко,Світлана,Володимирівна,жінка,1963-06-03,Перекладач,селище Болехів,"парк Івана Луценка, буд. 0 кв. 8, Алмазна, 95681",+380 38 618-82-10,kovaliukhlib@example.org
Єщенко,Юстина,Олегівна,жінка,2005-09-23,Професор,село Новояворівськ,"узвіз Уманська, буд. 623 кв. 948, Отаманівка, 48863",+380 51 759-74-37,glemeshko@example.com
Ґерета,Миколай,Олексійович,чоловік,1971-11-10,Пекар,місто Покров,"парк Колекційна, буд. 1 кв. 27, Березань, 16337",+380 36 173 20 77,ishukhevych@example.net
Шеремета,Азар,Сергійович,чоловік,1974-12-17,Ді-джей,селище Багачеве,"сквер Лінійна, буд. 5, Харцизьк, 43917",+380 (86) 966-12-72,candriishyna@example.net
Абрамчук,Богуслав,Іванович,чоловік,1961-09-12,Промисловець,село Копичинці,"набережна Миколи Бурачека, буд. 241, Корець, 75675",209-01-53,kozachenkoaaron@example.com
Ґалаґан,Антон,Олексійович,чоловік,1996-06-11,Модельєр,хутір Болград,"вулиця Абрикосова, буд. 6, Ходорів, 71460",+380 (94) 417-96-74,mabramenko@example.net
Власюк,Володимира,Сергіївна,жінка,1979-12-18,Графік,місто Радивилів,"узвіз Пішонівська, буд. 7, Бахмач, 72138",+380 06 000 42 17,nestordzyndra@example.com
Кащенко,Богуслава,Петрівна,жінка,1963-09-15,Футболіст,місто Стрий,"проспект Тінистий, буд. 3 кв. 3, Сокаль, 03438",300 74 30,tereza59@example.com
Абраменко,Валентин,Петрович,чоловік,1968-01-21,Геолог,селище Подільськ,"шосе Соляний 5-й, буд. 8 кв. 18, Алушта, 99600",+380 82 570-51-64,cvasylechko@example.org
Бездітко,Лілія,Олексіївна,жінка,1952-07-07,Астронавт,селище Армянськ,"шосе Виставочна, буд. 24, Погребище, 79639",+380 (15) 984-11-56,otalan@example.com
Забашта,Дан,Андрійович,чоловік,2001-07-19,Складальник,село Харків,"узвіз Лазурний 3-й, буд. 9 кв. 7, Хрустальний, 61722",+380 38 714-06-38,ndemianenko@example.org
Жадан,Златослава,Володимирівна,жінка,2008-07-30,Фотограф,селище Городище,"провулок Бутишів, буд. 74 кв. 982, Канів, 39238",079 308-78-50,danylo97@example.org
Корбут,Альберт,Володимирович,чоловік,2003-12-10,Етнограф,селище Вуглегірськ,"шосе Яші Гордієнка, буд. 3 кв. 450, Заставна, 31593",+380 18 777-98-63,pzhalilo@example.com
Лагода,Емілія,Іванівна,жінка,1971-06-19,Гірничий інженер,село Новомиргород,"вулиця Промислова, буд. 697, Євпаторія, 35741",703-12-67,dankevychpriska@example.com
Юрчук,Аніта,Іванівна,жінка,1982-09-14,Дерун,село Новий Калинів,"парк 21-й км Старокиївської дороги, буд. 66, Красилів, 78489",+380 78 368-79-30,artem10@example.net
Власюк,Святослава,Сергіївна,жінка,1958-10-07,Клоун,селище Хрестівка,"площа Вернидуба, буд. 3 кв. 70, Білопілля, 31887",+380 77 192 26 17,mmishchenko@example.com
Канівець,Єва,Володимирівна,жінка,1941-08-25,Шериф,хутір Снятин,"сквер Мостовий, буд. 8, Новогродівка, 37106",084 026 84 38,liliia48@example.org
Смик,Костянтин,Олегович,чоловік,2003-10-31,Правник,хутір Покровськ,"провулок Гвоздичний, буд. 0, Переяслав, 30280",+380 50 019-17-85,darynahuzii@example.net
Лавренко,Семен,Олегович,чоловік,1950-06-12,Електрик,село Берестин,"площа Шахтинський, буд. 1 кв. 23, Білицьке, 50477",087 497 45 84,borysdanyliuk@example.net
Василашко,Левко,Сергійович,чоловік,2008-02-28,Ґрунтознавець,хутір Калинівка,"сквер Ламаний, буд. 211, Бердянськ, 66823",+380 (52) 651-33-90,zakharprykhodko@example.com
Ващенко-Захарченко,Аніта,Сергіївна,жінка,1987-08-13,Нотаріус,село Нетішин,"парк Тарутинська, буд. 85, Гнівань, 83321",+380 57 241-86-84,sirobabaliubov@example.com
Гаврилець,Марʼяна,Іванівна,жінка,1998-09-06,Інженер,хутір Стебник,"сквер Колекційна, буд. 590, Путивль, 62323",030 901-92-14,pzhuravel@example.net
Негода,Гаврило,Володимирович,чоловік,1975-04-02,Історик,селище Прип'ять,"вулиця Бугаївська, буд. 979, Новоград-Волинський, 86258",239-60-41,tchubai@example.org
Удовенко,Охрім,Володимирович,чоловік,1944-10-13,Золотар,селище Вінниця,"проспект Бузковий 2-й, буд. 588 кв. 49, Єнакієве, 82998",252 76 83,ievhenaleksiichuk@example.com
Гаврилишин,Леон,Сергійович,чоловік,1985-09-02,Географ,місто Армянськ,"набережна Велика Садова, буд. 7 кв. 8, Обухів, 47803",+380 90 939 72 11,deinekavasylyna@example.net
Каденюк,Миколай,Олексійович,чоловік,1974-11-03,Педагог,місто Славутич,"площа Стеценко, буд. 82 кв. 90, Семенівка, 09709",306 18 29,orysiairvanets@example.net
Цюцюра,Олена,Володимирівна,жінка,1957-11-25,Науковець,село Тиврів,"набережна 14-та ст. Великого Фонтану пляж, буд. 788 кв. 247, Рені, 75786",+380 (80) 886-65-69,oryna73@example.com
Гавриш,Вікторія,Андріївна,жінка,1994-02-07,Гицель,селище Новоазовськ,"вулиця Лінія 35-та, буд. 9 кв. 2, Миколаїв, 18586",380-67-99,ihnat45@example.net
Дубас,Валентина,Андріївна,жінка,1947-02-02,Історик,село Білопілля,"площа Проїзний 2-й, буд. 56, Богодухів, 84480",+380 (51) 104-54-98,edyta27@example.com
Лупій,Орися,Іванівна,жінка,1978-05-21,Мовознавець,село Костянтинівка,"площа Левкоєва, буд. 41 кв. 10, Бахчисарай, 97130",178 92 44,venedyktderevianko@example.net
Жук,Наталія,Олегівна,жінка,1985-10-01,Акушер,селище Герца,"шосе Отамана Чепіги, буд. 6, Бахмач, 11775",+380 14 118-68-86,shvaikahordii@example.org
Скирда,Златослава,Олексіївна,жінка,1977-12-09,Адвокат,місто Богуслав,"вулиця Валерія Самофалова, буд. 923, Українськ, 56428",+380 42 103 05 06,vira80@example.org
Гаврюшенко,Лукʼян,Сергійович,чоловік,1988-05-02,Режисер,місто Дунаївці,"проспект 10-та Лінія Марії Демченко, буд. 475, Перевальськ, 83949",+380 69 499 06 90,vakulenkoliudmyla@example.com
Туркало,Амалія,Олегівна,жінка,1988-08-17,Піаніст,місто Барвінкове,"провулок Мелодійний, буд. 386, Новий Буг, 88012",+380 58 513 74 86,liliiasyrotenko@example.com
Свистун,Пріска,Петрівна,жінка,1986-10-01,Нотаріус,хутір Шаргород,"шосе Дмитра Сигаревича, буд. 478 кв. 29, Чистякове, 63545",080 164-45-49,davydandrusenko@example.org
Шаблій,Назар,Петрович,чоловік,1996-01-29,Піаніст,місто Кременчук,"парк Травневий, буд. 7, Харків, 96994",008 683-89-03,zinchuklevko@example.com
Овсієнко,Остап,Володимирович,чоловік,1986-01-23,Соціолог,селище Зимогір'я,"площа 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 605 кв. 16, Берестин, 02189",+380 19 995-80-85,venedyktturkalo@example.net
Худяк,Михайлина,Петрівна,жінка,1968-11-21,Піаніст,хутір Комарно,"парк Республіканська, буд. 500, Перевальськ, 86445",+380 31 946-49-07,heorhii76@example.net
Литвин,Григорій,Петрович,чоловік,1960-04-14,Історик,село Кременець,"вулиця Церковна, буд. 6, Калинівка, 61982",+380 (45) 769-54-83,valentynsaienko@example.org
Ярош,Вадим,Олексійович,чоловік,1972-08-11,Стиліст,селище Токмак,"сквер Василя Кандинського 3-й, буд. 26, Бучач, 60883",+380 64 161-72-76,omelianvdovychenko@example.org
Хомик,Валентин,Петрович,чоловік,1944-10-28,Візажист,селище Селидове,"шосе Східний, буд. 5 кв. 587, Енергодар, 35035",002-06-32,asaulaalla@example.net
Бабариченко,Тарас,Олексійович,чоловік,1943-05-16,Різноробочий,місто Єнакієве,"вулиця Кипарисний 1-й, буд. 4 кв. 981, Пирятин, 52073",+380 59 457-81-00,myron38@example.org
Яценюк,Едуард,Олегович,чоловік,1944-10-31,Психолог,місто Ізмаїл,"вулиця Трамвайний, буд. 27, Барвінкове, 89421",057 26 02,vira41@example.com
Масляк,Леон,Андрійович,чоловік,1998-11-04,Сантехнік,селище Городок,"шосе Хортицька, буд. 38 кв. 6, Іллінці, 02383",+380 62 231-30-62,odanyliuk@example.net
Супруненко,Єфрем,Андрійович,чоловік,2003-12-10,Реставратор,місто Носівка,"площа Місячний, буд. 0 кв. 46, Шахтарське, 44215",+380 22 818-71-23,plutsenko@example.com
Байда,Геннадій,Володимирович,чоловік,1982-07-24,Сантехнік,хутір Дергачі,"шосе Десятого квітня, буд. 06, Верхівцеве, 67047",+380 (07) 238-78-31,boryslavshapoval@example.com
Данилюк,Алевтин,Олексійович,чоловік,1978-03-13,Стоматолог,селище Біла Церква,"сквер Виставочна, буд. 173, Липовець, 79118",652-61-05,leontii31@example.net
Бабʼюк,Аркадій,Сергійович,чоловік,1952-12-31,Біолог,селище Білицьке,"проспект Літакова, буд. 535 кв. 596, Новояворівськ, 07565",+380 (27) 220-87-79,arsenychavhustyn@example.org
Алексійчук,Емілія,Олегівна,жінка,1964-12-23,Кур'єр,хутір Белз,"сквер Пантелеймонівська, буд. 058, Турка, 22593",+380 96 225-88-47,vasylshutko@example.net
Фаренюк,Василина,Андріївна,жінка,1987-03-03,Художник,село Бердичів,"набережна Проектований 3-й, буд. 6, Запоріжжя, 19235",928-44-64,romanzhurba@example.com
Штепа,Єлисавета,Андріївна,жінка,2007-11-06,Футболіст,хутір Почаїв,"парк Соляний 3-й, буд. 4, Чернігів, 55536",665 73 08,baidaktrokhym@example.org
Яценюк,Орина,Іванівна,жінка,1955-04-08,Золотар,село Южноукраїнськ,"провулок Грушева, буд. 182 кв. 81, Залізне, 90669",796-18-45,tytarenkoavhustyn@example.org
Бандера,Василина,Олексіївна,жінка,1966-01-09,Мистецтвознавець,село Біляївка,"провулок Український 1-й, буд. 25 кв. 5, Зміїв, 48271",+380 49 926 63 59,cdeineka@example.com
Дергач,Федір,Володимирович,чоловік,1966-06-26,Нотаріус,селище Горлівка,"парк Добровольців, буд. 83 кв. 94, Родинське, 73871",+380 (75) 279-88-76,yriabets@example.org
Кармалюк,Клавдія,Олегівна,жінка,1981-12-11,Електромонтер,хутір Славутич,"шосе Ланжеронівський узвіз, буд. 68, Ясинувата, 16449",022 609 77 89,shvachkokamilla@example.org
Дрозд,Борис,Володимирович,чоловік,1962-05-18,Науковець,місто Ясинувата,"набережна Дельфін, буд. 2, Кремінна, 90420",060 408 77 11,taras92@example.net
Стус,Марина,Петрівна,жінка,1969-06-24,Хімік,місто Могилів-Подільський,"набережна Академіка Ясиновського, буд. 4 кв. 94, Дунаївці, 61667",+380 40 524-22-99,vakhniivira@example.net
Девдюк,Аліна,Петрівна,жінка,1954-01-29,Математик,селище Угнів,"набережна Лінія 51-ша, буд. 544, Новий Буг, 80632",+380 (88) 303-90-51,iaryna03@example.net
Дубина,Гліб,Олексійович,чоловік,1948-12-19,Вчитель,село Рівне,"площа Батуринська, буд. 656, Буськ, 38407",725-32-64,jstus@example.net
Супруненко,Орися,Петрівна,жінка,1994-12-02,Електротехнік,хутір Покров,"сквер Килимова, буд. 6, Кременець, 40891",027 902 21 37,odzyndra@example.net
Цюпа,Маруся,Петрівна,жінка,1940-11-20,Круп'є,село Вугледар,"сквер Дениса Максишка, буд. 513 кв. 9, Дружківка, 03725",069 054-76-82,volodymyraiatsenko@example.net
Дурдинець,Сніжана,Андріївна,жінка,1957-03-17,Бібліограф,селище Новоград-Волинський,"проспект Чорноморський 7-й, буд. 00 кв. 73, Білогірськ, 67880",065 565-24-16,lukashmykyta@example.net
